Country,Death,Elevation,Location,Name,Type,VEI,Year
Nicaragua,400,1344,Nicaragua,Mombacho,Stratovolcano,,1570
Mexico,,3850,Mexico,Colima,Stratovolcano,3,1576
Iceland,,1512,Iceland-S,Katla,Subglacial volcano,4,1580
Portugal,10,1053,Azores,San Jorge,Fissure vent,3,1580
Guatemala,,3763,Guatemala,Fuego,Stratovolcano,4,1581
Indonesia,10000,1731,Java,Kelut,Stratovolcano,5,1586
Indonesia,,2947,Java,Merapi,Stratovolcano,4,1587
Mexico,,3850,Mexico,Colima,Stratovolcano,3,1590
Indonesia,,3332,Java,Raung,Stratovolcano,5,1593
Colombia,636,5321,Colombia,Ruiz,Stratovolcano,4,1595
Japan,,2560,Honshu-Japan,Asama,Complex volcano,2,1596
Iceland,,1491,Iceland-S,Hekla,Stratovolcano,4,1597
Indonesia,,3332,Java,Raung,Stratovolcano,3,1597
Japan,800,2560,Honshu-Japan,Asama,Complex volcano,2,1598
Pacific Ocean,,640,Banda Sea,Banda Api,Caldera,3,1598
Peru,1400,4850,Peru,Huaynaputina,Stratovolcano,6,1600
Japan,,854,Izu Is-Japan,Hachijo-jima,Stratovolcano,2,1606
Indonesia,,1715,Halmahera-Indonesia,Gamalama,Stratovolcano,3,1608
China,,2865,China-S,Tengchong,Pyroclastic cone,,1609
Pacific Ocean,,640,Banda Sea,Banda Api,Caldera,3,1615
Guatemala,,3763,Guatemala,Fuego,Stratovolcano,3,1617
Iceland,,1512,Iceland-S,Katla,Subglacial volcano,5,1625
Iceland,4,1725,Iceland-NE,Grimsvotn,Caldera,2,1629
Portugal,200,805,Azores,Furnas,Stratovolcano,4,1630
Ethiopia,50,1068,Africa-NE,Dama Ali,Shield volcano,,1631
Italy,4000,1281,Italy,Vesuvius,Complex volcano,4,1631
Iceland,,1491,Iceland-S,Hekla,Stratovolcano,3,1636
Indonesia,1000,3332,Java,Raung,Stratovolcano,3,1638
